[10-Aug-2025 13:06:14 Europe/Berlin] PHP Warning:  Undefined array key "course_thumbnail" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 117
[10-Aug-2025 13:06:32 Europe/Berlin] PHP Warning:  Undefined array key "course_thumbnail" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 117
[10-Aug-2025 13:06:55 Europe/Berlin] PHP Warning:  Undefined array key "course_thumbnail" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 117
[10-Aug-2025 13:16:41 Europe/Berlin] PHP Warning:  Undefined array key "course_thumbnail" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 119
[10-Aug-2025 13:16:48 Europe/Berlin] PHP Warning:  Undefined array key "course_thumbnail" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 119
[10-Aug-2025 13:24:52 Europe/Berlin] PHP Warning:  Undefined array key "course_thumbnail" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 119
[10-Aug-2025 15:47:36 Europe/Berlin] PHP Warning:  Undefined array key "course_title" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:47:36 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:47:36 Europe/Berlin] PHP Warning:  Undefined array key "course_description" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:47:36 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:47:36 Europe/Berlin] PHP Warning:  Undefined array key "course_level" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:47:36 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:47:36 Europe/Berlin] PHP Warning:  Undefined array key "course_type" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:47:36 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:47:36 Europe/Berlin] PHP Warning:  Undefined array key "regular_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:47:36 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:47:36 Europe/Berlin] PHP Warning:  Undefined array key "sell_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
